caseId,intensityMode,taskMode,method,dfMHz,PRP,chipLength,Ncoh,codeType,codeLength,nFreq,scanTimeSec,heightResolutionKm,integrationGainDb,observabilityScore,complexityCost,fixedErr
1,weak,fast,NSGA-II task-driven,0.243409198590155,0.0067507800374468,1.95235706603524e-05,6,barker,13,5,0.202523401123404,2.92650961860186,18.9209460269048,0.494353287636057,0.00375,0
1,weak,fast,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
1,weak,fast,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
1,weak,fast,Manual task heuristic,0.25,0.008,2.4e-05,8,barker,13,5,0.32,3.597509496,20.1703333929878,0.583595242356272,0.005,0
2,weak,foEs,NSGA-II task-driven,0.02,0.00749437560644838,9.99368745600926e-06,6,barker,13,26,1.16912259460595,1.49801606346039,18.9209460269048,0.494353287636057,0.00375,0
2,weak,foEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,6,0.768,2.99792458,23.1806333496276,0.798616667830544,0.01,0
2,weak,foEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.75
2,weak,foEs,Manual task heuristic,0.05,0.008,1.6e-05,12,barker,13,11,1.056,2.398339664,21.9312459835446,0.70937471311033,0.0075,0
3,weak,hEs,NSGA-II task-driven,0.0928897446189747,0.0096694378551459,8.15682126530555e-06,8,barker,13,12,0.928266034094006,1.22267674829631,20.1703333929878,0.583595242356272,0.005,0
3,weak,hEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
3,weak,hEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
3,weak,hEs,Manual task heuristic,0.12,0.008,8e-06,12,barker,13,9,0.864,1.199169832,21.9312459835446,0.70937471311033,0.0075,0
4,weak,weakEs,NSGA-II task-driven,0.0938787691701955,0.00827986855419978,1.61566102806593e-05,26,complementary,16,12,5.16663797782066,2.42181495449346,27.6909333062674,1,0.16625,0
4,weak,weakEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
4,weak,weakEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
4,weak,weakEs,Manual task heuristic,0.12,0.008,1.6e-05,28,complementary,16,9,4.032,2.398339664,28.0127801399814,1,0.1675,0
5,weak,full_trace,NSGA-II task-driven,0.0428546008481148,0.00723584956174516,8e-06,20,barker,13,25,3.61792478087258,1.199169832,24.1497334797082,0.867838105693442,0.0125,0
5,weak,full_trace,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
5,weak,full_trace,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
5,weak,full_trace,Manual task heuristic,0.05,0.008,1.4e-05,16,barker,13,21,2.688,2.098547206,23.1806333496276,0.798616667830544,0.01,0
6,weak,balanced,NSGA-II task-driven,0.0883920893990346,0.00752097039513663,8.00966594449399e-06,12,barker,13,12,1.08301973689968,1.20061872062937,21.9312459835446,0.70937471311033,0.0075,0
6,weak,balanced,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
6,weak,balanced,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
6,weak,balanced,Manual task heuristic,0.12,0.008,1.6e-05,16,barker,13,9,1.152,2.398339664,23.1806333496276,0.798616667830544,0.01,0
7,weak,fast,NSGA-II task-driven,0.241111529046137,0.00675520864676847,2.506080429215e-05,6,barker,13,5,0.202656259403054,3.7565200591003,18.9209460269048,0.494353287636057,0.00375,0
7,weak,fast,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
7,weak,fast,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
7,weak,fast,Manual task heuristic,0.25,0.008,2.4e-05,8,barker,13,5,0.32,3.597509496,20.1703333929878,0.583595242356272,0.005,0
8,weak,foEs,NSGA-II task-driven,0.02,0.00766821122258769,8e-06,6,barker,13,26,1.19624095072368,1.199169832,18.9209460269048,0.494353287636057,0.00375,0
8,weak,foEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,6,0.768,2.99792458,23.1806333496276,0.798616667830544,0.01,0
8,weak,foEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.75
